stop_id,stop_lon,stop_lat
1773,-79.2311,43.746267
1774,-79.311347,43.707981
1775,-79.502543,43.6703
1776,-79.252323,43.727826
1777,-79.491251,43.705431
1778,-79.357665,43.680882
1779,-79.541201,43.747195
1780,-79.447578,43.657389
1781,-79.459315,43.637568
1782,-79.219718,43.794705
1783,-79.500473,43.722389
1784,-79.552407,43.768972
1785,-79.232078,43.813203
1786,-79.272839,43.820193
1787,-79.20723,43.80027
1788,-79.392007,43.746315
1790,-79.414476,43.673032
1793,-79.491412,43.665598
1794,-79.516749,43.59833
1795,-79.450841,43.651156
1796,-79.285559,43.697134
1797,-79.387956,43.702552
1798,-79.400656,43.706175
1799,-79.587255,43.753672
1800,-79.487428,43.626981
1801,-79.506782,43.694911
1802,-79.419048,43.644501
1803,-79.258561,43.789465
1804,-79.334411,43.788106
1805,-79.23469,43.7234
1808,-79.246651,43.755437
1809,-79.562012,43.611799
1810,-79.53695,43.645111
1812,-79.279241,43.787473
1813,-79.36752,43.762073
1814,-79.340141,43.734213
1815,-79.463329,43.698304
1816,-79.343188,43.706926
1818,-79.451677,43.752486
1819,-79.435093,43.756023
1820,-79.226279,43.800727
1821,-79.319082,43.779418
1822,-79.309635,43.730221
1823,-79.334237,43.857684
1824,-79.256495,43.785961
1825,-79.255857,43.728984
1826,-79.382719,43.740168
1827,-79.244275,43.825661
1828,-79.4263,43.720066
1830,-79.484391,43.630183
1831,-79.207533,43.80183
1832,-79.39643,43.726749
1833,-79.478151,43.629066
1834,-79.309964,43.678652
1835,-79.525817,43.728609
1836,-79.473691,43.774135
1837,-79.420489,43.64943
1838,-79.248584,43.712291
1839,-79.337402,43.894614
1841,-79.303436,43.702995
1842,-79.253659,43.725151
1843,-79.566076,43.727442
1845,-79.405683,43.739952
1847,-79.492384,43.767461
1848,-79.530732,43.649493
1849,-79.297762,43.679023
1850,-79.23213,43.817144
1851,-79.558038,43.675664
1853,-79.251174,43.706146
1854,-79.275843,43.725137
1855,-79.472622,43.639917
1856,-79.568748,43.644287
1857,-79.401825,43.790352
1858,-79.462489,43.660394
1860,-79.285448,43.777591
1861,-79.481308,43.62278
1862,-79.464052,43.700507
1863,-79.253156,43.794928
1864,-79.267336,43.689961
1865,-79.296853,43.701231
1866,-79.445773,43.638864
1867,-79.439406,43.689468
1868,-79.531352,43.645722
1869,-79.277466,43.798207
1870,-79.157941,43.793732
1871,-79.419702,43.68686
1872,-79.484364,43.757132
1873,-79.317954,43.777067
1875,-79.440784,43.673086
1876,-79.542067,43.768228
1877,-79.233673,43.728368
1878,-79.55211,43.637886
1880,-79.432353,43.786247
1881,-79.528464,43.704727
1883,-79.410209,43.700106
1884,-79.182208,43.783779
1885,-79.346563,43.74829
1886,-79.272633,43.700102
1887,-79.499104,43.757219
1890,-79.327268,43.68248
1891,-79.25795,43.810072
1892,-79.406075,43.704648
1893,-79.508761,43.680395
1894,-79.375993,43.769432
1895,-79.209074,43.763163
1896,-79.189427,43.776049
1897,-79.537139,43.723203
1898,-79.439797,43.698896
1899,-79.542526,43.753169
1900,-79.366381,43.660599
1901,-79.534872,43.639282
1902,-79.273978,43.694206
1903,-79.480593,43.754319
1904,-79.251202,43.771989
1905,-79.272115,43.770434
1906,-79.469982,43.703658
1907,-79.25407,43.790724
1908,-79.356045,43.734157
1909,-79.29791,43.727126
1910,-79.512602,43.701059
1911,-79.493109,43.748483
1912,-79.506142,43.72139
1913,-79.496337,43.723322
1914,-79.586549,43.687681
1915,-79.28993,43.68611
1916,-79.526502,43.74681
1917,-79.310121,43.7856
1918,-79.555712,43.688235
1919,-79.462995,43.696645
1920,-79.315328,43.696958
1921,-79.419148,43.655048
1922,-79.307628,43.778574
1923,-79.43895,43.668082
1924,-79.589827,43.732009
1925,-79.337065,43.654374
1927,-79.30533,43.823929
1929,-79.294268,43.762583
1930,-79.528396,43.648526
1931,-79.378055,43.736687
1932,-79.247234,43.735116
1933,-79.448914,43.692263
1934,-79.440405,43.700395
1935,-79.577601,43.727324
1936,-79.195105,43.802911
1937,-79.580983,43.700797
1938,-79.383159,43.742341
1939,-79.519106,43.616805
1940,-79.476559,43.638666
1941,-79.464281,43.703313
1942,-79.503968,43.703114
1943,-79.490629,43.705831
1945,-79.439959,43.762333
1946,-79.561117,43.761355
1947,-79.411333,43.684781
1948,-79.238637,43.738664
1950,-79.577509,43.664001
1951,-79.264703,43.749747
1952,-79.413713,43.703573
1953,-79.315507,43.796614
1954,-79.341124,43.737567
1955,-79.48196,43.665365
1957,-79.297108,43.696877
1958,-79.214057,43.810006
1959,-79.426882,43.649434
1960,-79.33904,43.763361
1961,-79.515444,43.749031
1962,-79.259936,43.874837
1963,-79.401416,43.74447
1964,-79.329182,43.673526
1965,-79.47009,43.67581
1966,-79.346774,43.738748
1967,-79.460466,43.719368
1968,-79.21537,43.807613
1969,-79.498562,43.670129
1970,-79.560219,43.632068
1972,-79.543032,43.659984
1974,-79.55876,43.737229
1976,-79.412451,43.766911
1979,-79.243864,43.780553
1980,-79.351627,43.761597
1981,-79.528983,43.66478
1982,-79.326911,43.774535
1983,-79.519699,43.657008
1984,-79.309184,43.781022
1985,-79.418706,43.663559
1986,-79.246727,43.736844
1987,-79.499833,43.667169
